url,name,address,phone,email,www,facebook,twitter
http://www.spaweek.com/spa/31937/1110-on-the-parkway-medi-spa,1110 on the Parkway Medi-Spa,"""1110 North Bancroft Parkway, Suite 2 Wilmington, DE 19805""",302.576.1110,contact@1110ontheparkway.com,www.1110ontheparkway.com,https://www.facebook.com/1110OnTheParkway,https://twitter.com/1110medispa
http://www.spaweek.com/spa/36198/20-west-spa,20 West Spa,"""20 West Wentworth Street Englewood, FL 34223""",941.475.0020,jbktucker@gmail.com,www.20wspa.com/,#N/A,#N/A
http://www.spaweek.com/spa/30474/212-salon-amp-day-spa,212 Salon & Day Spa,"""212 Bellevue Avenue Upper Montclair, NJ 07043""",973.509.2120,#N/A,#N/A,https://www.facebook.com/212salonanddayspa,https://www.twitter.com/212salonandspa
http://www.spaweek.com/spa/28209/3am-luxury-spa,3AM Luxury Spa,"""8613 Old King Road South, Suite 401 Jacksonville, FL 32217""",904.373.8636,Ayesha3AM@live.com,www.facebook.com/pages/3AM-Luxury-Spa/496525233692280,#N/A,#N/A
http://www.spaweek.com/spa/2336/3rd-element-spa-amp-salon,3rd Element Spa & Salon,"""7175 Ogontz Avenue, Suite C Philadelphia, PA 19138""",215.276.2633,3rdelementspa@gmail.com,www.3rdelementinc.com,https://www.facebook.com/pages/3rd-Element-Spa-and-Salon/155486349200,#N/A
http://www.spaweek.com/spa/1078/5-elements-spa-amp-wellness-center,5 Elements Spa & Wellness Center,"""159 Avenida Del Mar San Clemente, CA 92672""",949.361.0505,info@5elementsdayspa.com,www.5elementsdayspa.com,#N/A,#N/A
http://www.spaweek.com/spa/17663/5-salon-amp-spa,5 Salon & Spa,"""1643 Schlosser Street Fort Lee, NJ 07024""",201.944.8011,#N/A,www.5salonspa.com,#N/A,#N/A
http://www.spaweek.com/spa/36763/5th-element-spa,5th Element Spa,"""5965 Red Bug Lake Road, #221 Winter Springs, FL 32708""",407.493.6657,#N/A,www.5thelementspa.net/,#N/A,#N/A
http://www.spaweek.com/spa/23011/7e-fit-spa,7E Fit Spa,"""1400 East Hillsboro Boulevard, Suite 100 Deerfield Beach, FL 33441""",954.426.0550,manuel@7efitspa.com,www.7efitspa.com,#N/A,#N/A
http://www.spaweek.com/spa/12742/7th-heaven-day-spa,7th Heaven Day Spa,"""4457 NC Highway 105 South Boone, NC 28607""",828.963.2355,#N/A,#N/A,#N/A,#N/A
http://www.spaweek.com/spa/11278/95th-street-salon-amp-spa,95th Street Salon & Spa,"""2765 Dagny Way, Suite 100 Lafayette, CO 80026""",303.666.7036,#N/A,www.95thstsalon.com,#N/A,#N/A
http://www.spaweek.com/spa/1698/ease-spa-hillsdale,@ease Spa  - Hillsdale,"""142 Broadway Hillsdale, NJ 07642""",201.722.8848,info@at-easespa.com,www.at-easespa.com,https://www.facebook.com/easespa,https://www.twitter.com/AtEaseSpaNJ
http://www.spaweek.com/spa/11201/a-beautiful-day-spa,A Beautiful Day Spa,"""16-1436 39th Avenue Keaau, HI 96749""",808.982.7252,#N/A,www.abeautifuldayspa.com,#N/A,#N/A
http://www.spaweek.com/spa/9743/a-bella-style-salon-amp-day-spa,A Bella Style Salon & Day Spa,"""3685 West Outer Road, Suite 3 Arnold, MO 63010""",636.671.2398,salon@abellastyle.com,www.abellastyle.net,#N/A,#N/A
http://www.spaweek.com/spa/705/a-better-body-the-spa-at-ii-creeks,A Better Body - The Spa at II Creeks,"""2701 Custer Parkway, Suite 702 Richardson, TX 75080""",972.231.8731,relax@thespaatiicreeks.com ,#N/A,http://www.facebook.com/thespaatiicreeks,#N/A
http://www.spaweek.com/spa/13175/a-better-you-salon-amp-day-spa,A Better You Salon & Day Spa,"""2255 Center Street, Suite 102 Chattanooga, TN 37421""",423.894.0078,#N/A,www.abetteryoudayspa.com,#N/A,#N/A
