Address;Postcode
287 Avenue Road Extension, Leicester;LE2 3ER
74 Knighton Church Road, Leicester;LE2 3JH
179 Ratcliffe Road, Leicester;LE2 3TE
57 Gainsborough Road, Leicester;LE2 3DH
3 Avenue Gardens, Leicester;LE2 3EU
17 Portland Road, Leicester;LE2 3AB
20 Portland Road, Leicester;LE2 3AB
3 Palmerston Boulevard, Leicester;LE2 3YT
2 Egerton Houses, Leicester;LE2 3LR
60 Greenhill Road, Leicester;LE2 3DL
78 Shirley Avenue, Leicester;LE2 3NA
245 Knighton Church Road, Leicester;LE2 3JP
3 Goldhill Road, Leicester;LE2 3LE
9 Arreton Close, Leicester;LE2 3PP
281 Clarendon Park Road, Leicester;LE2 3AQ
12 Shanklin Avenue, Leicester;LE2 3RE
2 Shanklin Avenue, Leicester;LE2 3RE
37 South Kingsmead Road, Leicester;LE2 3YN
111 Knighton Church Road, Leicester;LE2 3JN
9 Gainsborough Road, Leicester;LE2 3DG
33 Knighton Church Road, Leicester;LE2 3JN
9 Eastcourt Road, Leicester;LE2 3YA
65 Overdale Road, Leicester;LE2 3YJ
198 Avenue Road Extension, Leicester;LE2 3EL
193 Queens Road, Leicester;LE2 3FN
23 Greenhill Road, Leicester;LE2 3DN
43 South Kingsmead Road, Leicester;LE2 3YN
76 Meadvale Road, Leicester;LE2 3WL
157 Queens Road, Leicester;LE2 3FN
108 Avenue Road Extension, Leicester;LE2 3EH
106 Stanfell Road, Leicester;LE2 3GB
71 Avenue Road, Leicester;LE2 3EA
2B Cross Road, Leicester;LE2 3AA
223 Avenue Road Extension, Leicester;LE2 3ER
24 Knighton Church Road, Leicester;LE2 3JG
16 South Knighton Road, Leicester;LE2 3LN
240 Clarendon Park Road, Leicester;LE2 3AG
29 Newmarket Street, Leicester;LE2 3WQ
26 Kenwood Road, Leicester;LE2 3PJ
37 Balmoral Close, Leicester;LE2 3PZ
3 Milford Road, Leicester;LE2 3FG
135 St Leonards Road, Leicester;LE2 3BZ
8 Knighton Road, Leicester;LE2 3HH
70 Carisbrooke Road, Leicester;LE2 3PB
140 Shanklin Drive, Leicester;LE2 3QD
22 Brinsmead Road, Leicester;LE2 3WB
Flat 2, 3 Avenue Road, Leicester;LE2 3EA
25 Springfield Road, Leicester;LE2 3BB
167 South Knighton Road, Leicester;LE2 3LT
70 Sidney Road, Leicester;LE2 3JR
39 Springfield Road, Leicester;LE2 3BB
26 Overdale Road, Leicester;LE2 3YH
42 Overdale Road, Leicester;LE2 3YH
76 Overdale Road, Leicester;LE2 3YH
27 Craighill Road, Leicester;LE2 3FD
76 Carisbrooke Road, Leicester;LE2 3PB
155A Queens Road, Leicester;LE2 3FN
19 Stockwell Road, Leicester;LE2 3PN
10 Estima Close, Leicester;LE2 3UE
194 Queens Road, Leicester;LE2 3FT
31 Greenhill Road, Leicester;LE2 3DN
106 Avenue Road Extension, Leicester;LE2 3EH
50 Bulwer Road, Leicester;LE2 3BU
111 Greenhill Road, Leicester;LE2 3DP
11 Heythrop Close, Oadby;LE2 4SL
22 Stour Close, Oadby;LE2 4GE
5 Gorse Lane, Oadby;LE2 4RR
9 Stevenstone Close, Oadby;LE2 4TF
7 Trent Close, Oadby;LE2 4GP
30 Launde Road, Oadby;LE2 4HG
43 Beaumont Street, Oadby;LE2 4DA
Flat 6, Brooks House, 81 Leicester Road, Oadby;LE2 4AB
14 Parkland Drive, Oadby;LE2 4DG
27 Elizabeth Drive, Oadby;LE2 4RD
2 Carbery Close, Oadby;LE2 4TA
12 Willow Herb Close, Oadby;LE2 4QG
31 Parkland Drive, Oadby;LE2 4DH
2 Colne Close, Oadby;LE2 4GA
4 The Avenue, Oadby;LE2 4QR
28 James Gavin Way, Oadby;LE2 4UE
17 Bollington Road, Oadby;LE2 4ND
41 Malham Way, Oadby;LE2 4PS
11 Eden Close, Oadby;LE2 4JQ
53 Queen Street, Oadby;LE2 4NL
37A Severn Road, Oadby;LE2 4FU
6 Atherstone Close, Oadby;LE2 4SP
12 St Pauls Close, Oadby;LE2 4LZ
27 Queen Street, Oadby;LE2 4NL
27 Queen Street, Oadby;LE2 4NL
6 Wych Elm Road, Oadby;LE2 4EF
107 Harborough Road, Oadby;LE2 4LG
6 Uplands Road, Oadby;LE2 4NS
14 Hayden Walk, Oadby;LE2 4TL
31 Pipistrelle Way, Oadby;LE2 4QA
11 Quiney Way, Oadby;LE2 4HN
5 Burton Close, Oadby;LE2 4SQ
14 Smore Slade Hills, Oadby;LE2 4UX
26 Fox Pond Lane, Oadby;LE2 4RY
10 Tynedale Close, Oadby;LE2 4TS
95 Leicester Road, Oadby;LE2 4AB
79 Leicester Road, Oadby;LE2 4DF
58 Regent Street, Oadby;LE2 4DL
7 Sycamore Close, Stretton Hall;LE2 4QU
27 Brookside Drive, Oadby;LE2 4PD
29 Woodfield Road, Oadby;LE2 4HQ
2 Fernie Close, Oadby;LE2 4SJ
3 Spion Kop, Oadby;LE2 4QN
132 Harborough Road, Oadby;LE2 4LD
3 Manor Road Extension, Oadby;LE2 4FG
37 Hornbeam Close, Oadby;LE2 4EQ
12 Woodlands Close, Oadby;LE2 4QP
14 Kent Drive, Oadby;LE2 4PN
52 Queen Street, Oadby;LE2 4NJ
24 Stoughton Road, Oadby;LE2 4DS
7 Forest Rise, Oadby;LE2 4FH
19 Derwent Walk, Oadby;LE2 4JB
10 St Pauls Close, Oadby;LE2 4LZ
9 Bourton Crescent, Oadby;LE2 4PA
32 The Pastures, Oadby;LE2 4QD
6 Leys Close, Oadby;LE2 4HJ
8 The Pastures, Oadby;LE2 4QD
51 Regent Street, Oadby;LE2 4DN
8 Frensham Close, Oadby;LE2 5WF
1 Vandyke Road, Oadby;LE2 5UB
23 Coombe Rise, Oadby;LE2 5TJ
16 Church Street, Oadby;LE2 5DB
5 Church Street, Oadby;LE2 5DB
22 Mandervell Road, Oadby;LE2 5LN
57 Rosemead Drive, Oadby;LE2 5SD
22 Primrose Hill, Oadby;LE2 5JA
63 Hermitage Court, Honeywell Close, Oadby;LE2 5QQ
